Topic,n_peliculas,pelicula_principal,pct_pelicula_principal
5,27,Women Talking,56.7
9,19,Juno,45.6
12,15,Gladiator,30.6
16,17,Her,23.9
6,27,Precious,22.9
13,20,Chicago,22.8
10,29,Midnight in Paris,22.7
15,22,Her,18.0
2,44,Gosford Park,16.6
7,24,Chicago,16.4
0,52,Gosford Park,16.3
14,25,Juno,16.0
3,45,Gosford Park,15.1
1,48,Women Talking,14.8
19,21,Precious,14.3
18,19,Eternal Sunshine of the Spotless Mind,13.9
4,42,Precious,11.7
17,18,12 Years a Slave,11.4
11,34,Her,9.9
8,35,Precious,7.7
-1,55,Precious,7.3
